spred11;spred12;spred13;spred14;spred21;spred22;spred23;spred24;spred31;spred32;spred33;spred34;spred41;spred42;spred43;spred44;spred51;spred52;spred53;spred54;spred15;spred25;spred35;spred45;spred55
.30177939;.32877171;.26923311;.083817452;.1278746;.38772571;.37382415;.097756676;.048892327;.18122768;.52089673;.22469418;.021727564;.08795815;.34311154;.47565079;.031641524;.073034421;.2668111;.40693194;.01639834;.012818865;.024289079;.071551956;.22158101
.29894468;.32891628;.26985928;.085656822;.12648472;.38659835;.37395179;.099407211;.048136588;.18066964;.52078319;.22544836;.021539479;.0874791;.3430227;.47597274;.030867828;.072659016;.26595941;.40892828;.016622931;.013557926;.024962235;.071985975;.22158547
.29610997;.32906085;.27048543;.087496199;.12509486;.38547099;.37407944;.10105775;.04738085;.18011159;.52066964;.22620252;.021351395;.087000057;.34293386;.4762947;.03009413;.072283611;.26510775;.41092464;.016847543;.014296971;.025635406;.072419986;.22158986
.29327527;.32920542;.27111161;.089335568;.12370499;.38434362;.37420705;.10270828;.046625115;.17955355;.52055609;.2269567;.021163309;.086521007;.34284502;.47661668;.029320432;.071908206;.26425606;.41292101;.017072134;.015036054;.026308544;.072853982;.22159429
.29044056;.32934999;.27173775;.091174945;.12231512;.38321629;.37433469;.10435881;.045869377;.1789955;.52044255;.22771087;.020975225;.086041957;.34275618;.47693864;.028546736;.071532801;.2634044;.41491738;.017296746;.015775077;.0269817;.073288001;.22159868
.28760582;.32949457;.2723639;.093014315;.12092526;.38208893;.37446234;.10600935;.045113638;.17843746;.52032906;.22846504;.02078714;.085562915;.34266734;.47726059;.027773038;.071157396;.26255274;.41691372;.017521396;.01651413;.027654812;.073722012;.22160311
.28477111;.32963914;.27299008;.094853692;.11953539;.38096157;.37458995;.10765988;.044357903;.17787941;.52021551;.22921921;.020599056;.085083865;.3425785;.47758254;.026999339;.070781991;.26170105;.41891009;.017745979;.017253213;.028327964;.074156031;.22160754
.28193641;.32978368;.27361622;.096693061;.11814553;.3798342;.37471759;.10931042;.043602165;.17732136;.52010196;.22997338;.020410972;.084604822;.34248966;.47790453;.026225641;.070406586;.26084939;.42090645;.017970629;.017992258;.029001135;.07459002;.22161193
.2791017;.32992825;.2742424;.098532431;.11675566;.37870687;.37484524;.11096095;.042846426;.17676331;.51998842;.23072755;.020222887;.084125772;.34240082;.47822648;.025451943;.070031181;.2599977;.42290282;.018195219;.018731281;.029674292;.075024039;.22161636
.27626699;.33007282;.27486855;.10037181;.11536579;.37757951;.37497288;.11261149;.042090688;.17620526;.51987487;.23148172;.020034801;.083646722;.34231198;.47854844;.024678247;.069655769;.25914603;.42489919;.018419832;.019470334;.030347463;.075458065;.22162075
.27343228;.33021739;.27549469;.10221118;.11397592;.37645215;.37510049;.11426202;.041334953;.17564721;.51976132;.23223589;.019846717;.08316768;.34222314;.47887039;.023904549;.069280364;.25829437;.42689553;.018644452;.020209417;.031020615;.075892076;.22162518
.27059758;.33036196;.27612087;.10405055;.11258606;.37532479;.37522814;.11591256;.040579215;.17508917;.51964778;.23299006;.019658633;.08268863;.3421343;.47919235;.023130851;.068904959;.25744268;.4288919;.018869035;.020948462;.031693786;.076326095;.2216296
