spred11;spred12;spred13;spred14;spred21;spred22;spred23;spred24;spred31;spred32;spred33;spred34;spred41;spred42;spred43;spred44;spred51;spred52;spred53;spred54;spred15;spred25;spred35;spred45;spred55
.5526545;.26146233;.11021835;.011972249;.15412389;.43826973;.25143006;.077749796;.04779505;.18622303;.48379645;.18769222;.035165105;.035950851;.15809388;.55549514;.043680653;.024499176;.055453967;.21401076;.063692562;.078426518;.094493248;.21529502;.66235542
.54419816;.26122013;.1120628;.01758343;.15496285;.43574277;.25189474;.079667591;.050086204;.1864118;.47828609;.19151345;.038130894;.039498955;.16001299;.54761648;.046127174;.028884413;.057733368;.21379043;.064935483;.077732049;.093702465;.21474068;.65346462
.53574187;.26097792;.11390726;.023194609;.15580183;.4332158;.25235942;.081585385;.052377362;.18660057;.47277576;.19533469;.041096684;.043047059;.16193211;.53973788;.048573695;.033269651;.060012769;.2135701;.066178337;.077037565;.092911631;.21418627;.64457381
.52728558;.26073572;.11575171;.02880579;.15664081;.4306888;.25282407;.083503187;.05466852;.18678935;.4672654;.19915593;.044062473;.04659516;.16385122;.53185928;.05102022;.037654888;.062292166;.21334979;.067421198;.076343134;.092120811;.21363187;.63568294
.51882923;.26049355;.11759617;.03441697;.15747979;.42816183;.25328875;.085420981;.056959677;.18697812;.46175504;.20297715;.047028262;.050143264;.16577032;.52398062;.053466741;.042040125;.064571567;.21312946;.068664089;.075648651;.091330022;.21307753;.62679213
.51037294;.26025134;.11944063;.040028151;.15831876;.42563483;.25375342;.087338775;.059250835;.18716688;.45624471;.20679839;.049994051;.053691369;.16768944;.51610202;.055913262;.046425361;.066850968;.21290913;.069906935;.074954212;.090539187;.21252312;.61790127
.50191665;.26000914;.12128508;.045639332;.15915774;.42310786;.25421807;.089256577;.061541993;.18735565;.45073435;.21061963;.052959841;.057239473;.16960855;.50822335;.058359787;.050810598;.069130369;.2126888;.071149796;.074259751;.089748383;.21196878;.60901046
.49346033;.25976694;.12312954;.05125051;.15999672;.42058089;.25468275;.091174372;.063833147;.18754442;.44522402;.21444085;.05592563;.060787577;.17152765;.50034475;.060806308;.055195834;.071409769;.21246849;.072392687;.073565267;.088957563;.21141438;.60011959
.48500404;.25952473;.12497399;.056861691;.1608357;.4180539;.25514743;.093092166;.066124305;.1877332;.43971366;.21826209;.058891419;.064335681;.17344677;.49246612;.063252829;.059581071;.073689163;.21224816;.073635548;.072870813;.088166744;.21086;.59122878
.47654772;.25928253;.12681845;.062472872;.16167468;.41552693;.25561208;.095009968;.068415463;.18792197;.4342033;.22208332;.061857209;.067883782;.17536588;.48458749;.065699354;.063966312;.075968564;.21202783;.074878432;.072176352;.087375954;.21030563;.58233792
.46809143;.25904036;.1286629;.068084054;.16251364;.41299993;.25607675;.096927762;.070706621;.18811074;.42869297;.22590455;.064822994;.07143189;.17728499;.47670886;.068145871;.068351544;.078247964;.21180752;.076121263;.071481913;.086585119;.20975128;.57344711
.45963511;.25879815;.13050735;.073695235;.16335262;.41047296;.25654143;.098845556;.072997779;.18829951;.42318261;.22972579;.067788787;.074979991;.17920411;.46883026;.070592396;.072736785;.080527365;.21158719;.077364154;.07078743;.085794315;.20919687;.56455624
.45117882;.25855595;.13235182;.079306416;.1641916;.40794596;.25700608;.10076336;.075288936;.18848827;.41767225;.23354702;.070754573;.078528091;.18112321;.46095163;.073038921;.077122018;.082806766;.21136686;.078607;.070092998;.085003525;.2086425;.55566543
.4427225;.25831375;.13419627;.08491759;.16503058;.40541899;.25747076;.10268115;.077580094;.18867704;.41216192;.23736826;.073720366;.082076199;.18304232;.45307299;.075485438;.081507258;.085086167;.21114655;.079849899;.069398515;.084212691;.20808813;.54677457
.43426618;.25807154;.13604072;.090528771;.16586956;.40289202;.25793543;.10459895;.079871252;.18886583;.40665156;.24118949;.076686151;.0856243;.18496144;.44519436;.077931963;.085892491;.087365568;.21092622;.08109279;.068704031;.083421871;.20753375;.53788376
.42580989;.25782934;.13788518;.096139953;.16670853;.40036502;.25840008;.10651674;.08216241;.18905459;.40114123;.24501072;.079651944;.089172408;.18688054;.43731573;.08037848;.090277731;.089644961;.21070589;.082335636;.068009622;.082631052;.20697936;.52899295
.41735357;.25758713;.13972963;.10175113;.16754751;.39783806;.25886476;.10843454;.084453568;.18924336;.39563087;.24883196;.08261773;.092720509;.18879965;.42943713;.082825005;.094662964;.091924362;.21048556;.083578527;.067315131;.081840247;.20642498;.52010208
.40889728;.25734496;.14157408;.10736232;.16838649;.39531106;.25932944;.11035234;.086744726;.18943213;.39012051;.25265318;.085583523;.096268609;.19071877;.4215585;.08527153;.099048205;.094203763;.21026525;.084821358;.066620678;.081049457;.2058706;.51121128
.40044096;.25710276;.14341854;.1129735;.16922547;.39278409;.25979409;.11227013;.089035876;.1896209;.38461018;.25647444;.088549308;.099816717;.19263788;.41367987;.087718047;.10343345;.096483164;.21004492;.086064249;.065926224;.080258615;.20531623;.50232041
.39198467;.25686055;.145263;.11858468;.17006443;.39025712;.26025876;.11418793;.091327034;.18980967;.37909982;.26029566;.091515101;.10336482;.19455698;.40580124;.090164572;.10781868;.098762564;.20982459;.087307096;.065231748;.079467826;.20476186;.4934296
.38352835;.25661835;.14710745;.12419586;.17090341;.38773012;.26072344;.11610573;.093618192;.18999845;.37358949;.26411688;.094480887;.10691293;.1964761;.39792261;.092611097;.11220392;.10104197;.20960428;.088549986;.064537294;.078676991;.20420748;.48453873
.37507206;.25637615;.1489519;.12980704;.17174239;.38520315;.26118809;.11802352;.09590935;.19018722;.36807913;.26793814;.09744668;.11046103;.19839521;.39004397;.095057614;.11658915;.10332137;.20938395;.089792848;.06384284;.077886172;.20365311;.47564793
.36661574;.25613394;.15079637;.13541822;.17258137;.38267615;.26165277;.11994132;.098200507;.19037598;.36256877;.27175936;.10041247;.11400913;.20031431;.38216537;.097504139;.12097439;.10560076;.20916362;.091035724;.063148379;.077095382;.20309871;.46675709
.35815942;.25589174;.15264082;.1410294;.17342035;.38014919;.26211745;.12185912;.10049167;.19056475;.35705844;.27558059;.10337826;.11755724;.20223343;.37428674;.099950664;.12535962;.10788016;.20894329;.092278615;.062453896;.076304562;.20254433;.45786625
.34970313;.25564957;.15448527;.14664058;.17425932;.37762219;.26258209;.12377691;.10278282;.19075352;.35154808;.27940184;.10634404;.12110534;.20415254;.36640811;.10239718;.12974486;.11015956;.20872298;.093521446;.061759487;.075513743;.20198998;.44897541
.34124681;.25540736;.15632972;.15225175;.1750983;.37509522;.26304677;.12569471;.10507398;.19094229;.34603775;.28322306;.10930984;.12465344;.20607165;.35852948;.10484371;.13413011;.11243896;.20850265;.094764352;.061065003;.074722923;.2014356;.44008458
.33279052;.25516516;.15817419;.15786293;.17593728;.37256825;.26351145;.1276125;.10736514;.19113107;.34052739;.28704429;.11227562;.12820154;.20799077;.35065085;.10729023;.13851534;.11471836;.20828232;.096007198;.06037052;.073932119;.20088121;.43119374
.3243342;.25492296;.16001864;.16347411;.17677626;.37004125;.2639761;.12953031;.1096563;.19131984;.33501703;.29086554;.11524142;.13174964;.20990987;.34277225;.10973675;.14290057;.11699776;.20806201;.097250089;.059676081;.073141299;.20032683;.4223029
.31587791;.25468075;.16186309;.16908529;.17761524;.36751428;.26444077;.1314481;.11194745;.19150861;.3295067;.29468676;.1182072;.13529775;.21182898;.33489361;.11218327;.14728582;.11927716;.20784168;.09849295;.058981597;.07235048;.19977246;.41341206
.30742159;.25443855;.16370754;.17469648;.17845421;.36498728;.26490545;.1333659;.11423861;.19169737;.32399634;.29850799;.12117299;.13884586;.2137481;.32701498;.11462979;.15167105;.12155657;.20762135;.099735841;.058287159;.07155969;.19921806;.40452123
.29896531;.25419638;.16555201;.18030766;.17929319;.36246032;.2653701;.13528369;.11652977;.19188614;.31848598;.30232924;.12413878;.14239396;.2156672;.31913635;.11707631;.15605628;.12383596;.20740104;.10097866;.057592705;.07076887;.19866371;.39563042
.29050899;.25395417;.16739646;.18591884;.18013217;.35993335;.26583478;.13720149;.11882093;.19207491;.31297565;.30615047;.12710457;.14594206;.21758631;.31125772;.11952284;.16044152;.12611537;.20718071;.10222155;.056898221;.069978051;.19810934;.38673955
.2820527;.25371197;.16924091;.19153002;.18097115;.35740635;.26629946;.13911928;.12111208;.19226369;.30746529;.30997169;.13007036;.14949016;.21950543;.30337912;.12196936;.16482677;.12839477;.20696038;.10346441;.056203768;.069187254;.19755493;.37784874
