logmexp;zi_mean;zi_sd
;.012971796;1.5541445
;-.016689047;1.4703088
;.022201071;1.4514748
;-.02977425;1.4496328
;.010326738;1.4706116
;.013758092;1.4246149
;-.020206606;1.3840499
10.104092;.027708763;1.3873672
5.5875344;-.0027339829;1.4083312
7.7313843;-.037989691;1.4425756
6.7270417;.0044093109;1.3854951
8.6036243;.010889173;1.3544652
8.9138641;-.011928874;1.3368425
7.454752;.078095905;1.357308
7.8395615;.037541196;1.4221405
8.1116772;.052358396;1.3009397
7.4561267;-.0549866;1.426123
7.7528663;-.01174749;1.3835359
7.7839456;.10035879;1.3485427
7.845264;.11440326;1.3426738
7.8059506;-.10542027;1.4040856
7.4699025;-.10826703;1.5042298
8.3813429;-.085321389;1.4888111
7.7170177;-.043071628;1.4071538
8.0357313;-.021437418;1.4053497
7.8751283;-.018970886;1.399794
8.4129429;-.00073383929;1.3608028
8.1752501;-.01773263;1.3822544
8.1455421;-.012664761;1.3548504
8.041153;.052448492;1.3008014
8.0342722;.063380808;1.3161988
8.2004795;.032037053;1.3333747
8.6343832;.02980216;1.3595144
8.1078444;-.0051833238;1.3301678
8.2240057;.10016834;1.3102117
8.0403309;.042228643;1.3231088
8.8260374;-.0084147388;1.3120625
8.1505213;-.017203366;1.3192106
8.4013853;-.092507511;1.3774877
8.6746006;-.14564678;1.3461169
;;
