lmpred;zimean_pred;zisd_pred
6.8222857;-.14393389;1.5171961
6.8367343;-.098435044;1.4759988
6.8511834;-.061286878;1.442439
6.8656325;-.031578075;1.4156671
6.8800817;-.0084441593;1.3948761
6.8945308;.0089325001;1.3793013
6.9089799;.021322677;1.3682204
6.9234285;.029450299;1.360954
6.9378777;.033992436;1.3568648
6.9523268;.035579316;1.3553581
6.9667759;.034794305;1.3558817
6.981225;.032173928;1.3579259
6.9956741;.02820785;1.3610235
7.0101228;.023338892;1.3647498
7.0245719;.017963022;1.3687224
7.039021;.012431306;1.3726001
7.0534701;.0070401537;1.3760906
7.0679193;.0020527882;1.3789324
7.0823684;-.0023300368;1.3809201
7.096817;-.005938801;1.3818768
7.1112661;-.008666452;1.3816825
7.1257153;-.010437172;1.3802452
7.1401644;-.01123761;1.3775296
7.1546135;-.011085652;1.373529
7.1690626;-.010061649;1.3682928
7.1835113;-.0082771871;1.3618995
7.1979604;-.0059063206;1.3544836
7.2124095;-.0031543386;1.3462082
7.2268586;-.00028899728;1.337293
7.2413077;.0023907127;1.3279861
7.2557569;.0045233327;1.3185922
7.2702055;.0057161697;1.3094443
7.2846546;.0055140629;1.3009319
7.2991037;.0034306175;1.2934734
7.3135529;-.0010830298;1.2875431
7.328002;-.0086069759;1.2836441
7.3424511;-.019783787;1.282336
7.3568997;-.035287261;1.284207
7.3713489;-.055853665;1.2899014
7.385798;-.082250506;1.3000923
7.4002471;-.11530775;1.3155093
