lhwage;zi_mean;zi_sd
3.1073692;-.07185144;.89154691
3.120821;-.058993109;.88614327
3.1317413;-.028091198;.83531624
3.1451252;-.015825083;.82137555
3.2573712;-.012408939;.90652812
3.1163862;-.0092306063;.85667992
3.1216292;.0072162459;.8873561
3.1128802;.021306584;.88953984
3.1508331;-.002923931;.83813488
3.036279;.060250964;.92764872
3.1095779;.011366588;.89456195
3.0260899;.030673755;.92436981
3.1283269;.072603092;.93006247
3.2339904;.11237466;1.0406402
2.8883004;-.023376137;.92548358
3.3067846;.095234483;.94938374
2.4108288;-.03158031;.98462683
3.0768504;.061524518;1.0646772
;-.031528432;1.0813351
;-.070441291;1.053015
;-.081085578;1.163551
;.068901539;1.1038295
;-.13308351;1.2558588
;-.030444238;1.1489813
;-.088546008;1.2003183
;-.18190397;1.1100789
;-.093453236;1.2602419
;-.060151063;1.245833
;-.15565962;1.3318812
;-.19010606;1.2157109
;.08299841;1.4214646
;.09654887;1.3363539
;.34637561;1.3866606
;-.34373876;1.2629192
;.10969953;1.2389889
;-.031853072;1.1169934
;-.40553629;.82622814
;.69484699;.54724544
;-.21177667;.76694542
;.3683494;1.2733324
;;
