lwagepred;zimean_pred;zisd_pred
2.481925;.034799546;.84931308
2.4701223;.030473029;.85517359
2.4583199;.026146514;.85984534
2.4465172;.021820001;.86393797
2.4347148;.017493486;.86800003
2.4229124;.013166972;.87251914
2.4111097;.0088404566;.8779217
2.3993073;.0045139422;.8845734
2.3875046;.00018742774;.89277864
2.3757021;-.0041390867;.90278095
2.3638995;-.0084656011;.91476285
2.352097;-.012792116;.9288457
2.3402946;-.017118631;.94509006
2.3284919;-.021445146;.96349531
2.3166895;-.025771659;.98399985
2.3048868;-.030098174;1.0064837
2.2930844;-.034424689;1.0307554
2.2812817;-.038751204;1.0565808
2.2694793;-.043077718;1.0836438
2.2576768;-.047404233;1.111588
2.2458742;-.051730748;1.1399755
2.2340717;-.056057263;1.168328
2.2222691;-.060383774;1.1960853
2.2104666;-.064710289;1.2226472
2.1986642;-.069036804;1.2473314
2.1868615;-.073363319;1.2694155
2.1750591;-.077689834;1.2880955
2.1632564;-.082016349;1.3025268
2.151454;-.086342864;1.3117834
2.1396513;-.090669379;1.3148987
2.1278489;-.094995894;1.3108246
2.1160464;-.099322408;1.2984725
2.1042438;-.10364892;1.2766722
2.0924413;-.10797544;1.2442132
2.0806386;-.11230195;1.1998032
2.0688362;-.11662847;1.1421096
2.0570335;-.12095498;1.0697182
2.0452311;-.1252815;.98117429
2.0334287;-.12960801;.87494165
2.021626;-.13393453;.74944347
2.0098236;-.13826104;.60302162
