lwpred;zimean_pred;zisd_pred
1.7803761;1.2690362;.78674972
1.7686486;1.2726145;.77959496
1.7591192;1.2761928;.77437544
1.7437208;1.2797711;.77125847
1.7316096;1.2833493;.77037787
1.7180051;1.2869276;.7718339
1.7078928;1.2905059;.77569318
1.6998787;1.2940842;.78198892
1.6824708;1.2976624;.7907207
1.6797166;1.3012407;.80185467
1.6608077;1.304819;.81532329
1.6541603;1.3083972;.83102572
1.6360391;1.3119755;.8488273
1.6267209;1.3155538;.86856002
1.6207227;1.3191321;.89002228
1.6168379;1.3227103;.91298032
1.6026891;1.3262886;.93716133
1.5789765;1.3298669;.96226859
1.5665795;1.3334451;.98796082
1.5363101;1.3370234;1.0138744
1.5252879;1.3406017;1.0396007
1.5142658;1.34418;1.0647092
1.5032436;1.3477582;1.0887243
1.4922215;1.3513365;1.1111481
1.4811993;1.3549148;1.1314381
1.4701772;1.358493;1.1490294
1.459155;1.3620713;1.1633123
1.4481329;1.3656496;1.1736549
1.4371107;1.3692279;1.1793804
1.4260886;1.3728061;1.1797897
1.4150665;1.3763844;1.174139
1.4040443;1.3799627;1.1616623
1.3930222;1.3835409;1.1415488
1.382;1.3871192;1.112965
1.3709779;1.3906975;1.0750331
1.3599557;1.3942758;1.0268528
1.3489336;1.397854;.96747917
1.3379114;1.4014323;.89594471
1.3268893;1.4050106;.81123745
1.3158671;1.4085888;.71232283
1.304845;1.4121671;.59812176
