b1;b2;b3;b4;b5;b6
-7.2950959;-1.3954544;-.33771753;.37187338;1.1059813;4.0978389
-6.9447675;-1.2417188;-.36829567;.2984972;1.0985613;4.8877964
-6.3948684;-1.2431064;-.30597544;.38627291;1.1364641;5.8424363
-6.1453071;-1.2344375;-.31930256;.39063883;1.1166682;4.4753036
-6.5761614;-1.2329202;-.33426046;.39871836;1.1555071;5.8129296
-5.5782146;-1.1653714;-.2779088;.42785454;1.1176753;5.3719029
-5.7761383;-1.1978073;-.28249741;.39491749;1.088553;5.4275222
-6.34238;-1.0615549;-.21339846;.41271973;1.0972233;4.311605
-5.635396;-1.0976443;-.26986885;.37329435;1.0655932;4.7420421
-6.1423516;-1.1091442;-.24578905;.38520527;1.0913796;4.6379352
-4.9148006;-1.113636;-.28246593;.40387344;1.087687;4.9795737
-6.1515083;-1.1140218;-.26019859;.39414024;1.072011;5.2870002
-5.4480624;-1.1710448;-.30762959;.36234093;1.1134896;4.9719934
-6.4797454;-1.1405225;-.23257065;.40981054;1.1800075;4.4714742
-5.8294191;-1.1048274;-.23364782;.43545914;1.1965961;4.4626918
-5.1804142;-1.1075344;-.21961927;.40376377;1.1491818;4.6626387
-6.7959204;-1.1858783;-.31853962;.39147139;1.1402178;5.2051725
-5.9461584;-1.2039394;-.36087084;.32881069;1.1059399;4.258368
-6.8487344;-1.0593281;-.28335619;.36536503;1.0924792;4.6139507
-5.8171802;-1.1512132;-.27479601;.39338064;1.1523204;4.7723756
-5.9850407;-1.2665415;-.36341619;.2817955;1.0262356;5.4711552
-7.0780897;-1.2693639;-.39408827;.31631851;1.0603123;5.7635593
-7.5851607;-1.2806907;-.31942511;.35261917;1.0930328;5.2047434
-7.4342427;-1.1867871;-.29307842;.35555792;1.0840969;5.1099882
-6.1526356;-1.1459928;-.26390123;.42394781;1.1090822;4.9866962
-6.7355485;-1.1371264;-.28399324;.38203192;1.1446605;5.1413631
-6.7676401;-1.0770411;-.20969725;.41198587;1.1155648;4.9994164
-6.780139;-1.0999384;-.25420761;.41488838;1.1126719;5.4994888
-7.2551827;-1.0194001;-.2236557;.40065908;1.1008635;5.6311245
-6.3922529;-.92580128;-.16811562;.46375656;1.1626644;5.3357749
-6.3161969;-.94556952;-.13464832;.46800756;1.1824522;4.61622
-6.0137963;-.96433544;-.10164881;.54233837;1.2081761;6.2495561
-5.7264709;-.9450593;-.10793209;.48464489;1.2056518;5.6224241
-5.7647872;-.99291992;-.17364359;.48527241;1.2334261;4.587307
-6.9752183;-.83932447;-.05252409;.58862925;1.3504553;5.0205669
-6.3011136;-.95914173;-.12494087;.5554266;1.3007956;4.810246
-5.4393053;-.95913982;-.11310005;.53266144;1.3574529;4.9568763
-6.9272604;-.88444233;-.14079666;.48673916;1.3378291;5.4573846
-6.934216;-1.0072985;-.16017199;.57420492;1.4170446;4.646101
-4.7228446;-1.0949841;-.19991493;.43999958;1.4787855;4.9581833
-6.6262321;-1.0248199;-.16241169;.52191305;1.5569973;5.3570046
