bpred1;bpred2;bpred3;bpred4;bpred5;bpred6
-6.2275367;-1.251716;-.34202248;.33983365;1.031971;4.8869071
-6.2309842;-1.2444434;-.3370848;.34383199;1.0389112;4.8946567
-6.2344322;-1.2371708;-.33214712;.3478303;1.0458515;4.9024062
-6.2378798;-1.2298982;-.32720944;.35182863;1.0527916;4.9101553
-6.2413273;-1.2226256;-.32227176;.35582694;1.0597318;4.9179049
-6.2447748;-1.215353;-.31733406;.35982528;1.0666721;4.9256544
-6.2482224;-1.2080804;-.31239638;.36382359;1.0736123;4.933404
-6.2516699;-1.2008078;-.3074587;.36782193;1.0805525;4.941153
-6.2551174;-1.1935352;-.30252102;.37182024;1.0874927;4.9489026
-6.2585649;-1.1862626;-.29758334;.37581858;1.094433;4.9566522
-6.2620125;-1.17899;-.29264563;.37981689;1.1013732;4.9644017
-6.26546;-1.1717174;-.28770795;.38381523;1.1083133;4.9721508
-6.2689075;-1.1644448;-.28277028;.38781354;1.1152536;4.9799004
-6.2723551;-1.1571722;-.2778326;.39181188;1.1221938;4.9876499
-6.2758026;-1.1498996;-.27289489;.39581019;1.1291341;4.9953995
-6.2792501;-1.142627;-.26795721;.39980853;1.1360742;5.0031486
-6.2826977;-1.1353544;-.26301953;.40380684;1.1430144;5.0108981
-6.2861452;-1.1280818;-.25808185;.40780517;1.1499547;5.0186477
-6.2895927;-1.1208092;-.25314417;.41180348;1.1568949;5.0263972
-6.2930403;-1.1135366;-.24820648;.41580182;1.163835;5.0341463
-6.2964878;-1.106264;-.24326879;.41980013;1.1707753;5.0418959
-6.2999353;-1.0989914;-.23833111;.42379847;1.1777155;5.0496454
-6.3033829;-1.0917188;-.23339342;.42779678;1.1846558;5.057395
-6.3068304;-1.0844462;-.22845574;.43179512;1.1915959;5.0651441
-6.3102779;-1.0771736;-.22351806;.43579343;1.1985362;5.0728936
-6.3137255;-1.069901;-.21858037;.43979177;1.2054764;5.0806432
-6.317173;-1.0626284;-.21364269;.44379008;1.2124166;5.0883923
-6.3206205;-1.0553558;-.20870499;.44778842;1.2193568;5.0961418
-6.3240681;-1.0480832;-.20376731;.45178673;1.226297;5.1038914
-6.3275156;-1.0408106;-.19882962;.45578507;1.2332373;5.1116409
-6.3309631;-1.033538;-.19389194;.45978338;1.2401775;5.11939
-6.3344107;-1.0262654;-.18895426;.46378171;1.2471176;5.1271396
-6.3378582;-1.0189928;-.18401657;.46778002;1.2540579;5.1348891
-6.3413057;-1.0117202;-.17907889;.47177836;1.2609981;5.1426387
-6.3447533;-1.0044476;-.1741412;.4757767;1.2679384;5.1503878
-6.3482008;-.99717492;-.16920352;.47977501;1.2748785;5.1581373
-6.3516483;-.98990232;-.16426583;.48377335;1.2818187;5.1658869
-6.3550959;-.98262972;-.15932815;.48777166;1.288759;5.1736364
-6.3585434;-.97535712;-.15439047;.49177;1.2956992;5.1813855
-6.3619909;-.96808451;-.14945278;.49576831;1.3026395;5.1891351
-6.3654385;-.96081191;-.1445151;.49976665;1.3095796;5.1968846
-6.3654385;-.96081191;-.1445151;.49976665;1.3095796;5.1968846
