b1;b2;b3;b4;b5;b6
-7.8025322;-.63387537;-.18805575;.10459852;.47391462;2.8722157
-5.4540119;-.56717658;-.16175985;.15209866;.49810123;4.7598457
-7.5090175;-.54996872;-.17760801;.14088845;.49997783;4.6106195
-6.0872154;-.53071642;-.10969949;.159796;.50644755;5.3198705
-7.9249649;-.52231622;-.13365388;.16778207;.5229485;5.9799752
-8.2487392;-.51483965;-.12632918;.18778992;.54567122;5.3252029
-8.054615;-.50085068;-.10426927;.19959259;.54649091;4.2606621
-6.8139496;-.53855085;-.090944767;.22578359;.56673002;4.1051626
-6.1139431;-.53026819;-.11753511;.17898464;.52557588;6.3548517
-5.1646891;-.4986546;-.065706491;.23349214;.60142398;7.1881223
-7.0711598;-.52036548;-.10432744;.23212504;.59160709;4.8743792
-7.3024979;-.49840832;-.059384346;.24787188;.58679366;3.9171872
-5.7894535;-.46537638;-.041501522;.26395249;.63683152;5.0026093
-5.2839022;-.48518968;-.037954092;.3277564;.71508741;8.5439882
-6.9438214;-.57325995;-.12173009;.22806597;.6168797;6.1609111
-4.8937535;-.59120655;-.079646826;.2788043;.70888281;6.3495669
-4.254591;-.63793123;-.20284414;.19134808;.56978989;4.1616859
-7.3175602;-.67369664;-.12707019;.28518987;.85753775;3.9455776
-5.2403002;-.7449615;-.24586153;.13897753;.67183471;5.0081081
-4.4737244;-.80205584;-.25172281;.13519382;.56900454;3.6134915
-4.9171009;-.89361131;-.3267554;.12870669;.69337893;4.5495529
-4.7419658;-.76472032;-.17345333;.27048206;.88070726;6.0232739
-6.5838552;-.7959342;-.28250551;.10280585;.64052606;7.1839705
-4.8965178;-.85053527;-.31081891;.14906406;.726583;4.3789315
-5.9852219;-.98451662;-.31661916;.15044188;.79704118;4.0699368
-3.6849113;-.99783599;-.39321733;.086058617;.67594457;4.3519659
-6.0658789;-.91986001;-.27101612;.23980951;.94145894;4.692194
-4.1102462;-.87128878;-.35402071;.18197227;.83495903;3.845227
-4.4438643;-.94068885;-.33674479;.12709689;1.0485501;4.0370908
-4.1606708;-.78702903;-.28389561;.17039061;.87542748;3.5557771
-5.7420149;-.85841465;-.30272925;.26787424;1.1111767;4.1068859
-4.0577798;-.8373605;-.21177626;.27307606;1.1893086;4.939743
-3.3091335;-.59574556;-.073359728;.46715164;.98122311;5.5684156
-4.1224194;-1.3721685;-.30205131;.11803961;.46717834;2.1866519
-4.4391656;-.7509079;-.25070381;.37415671;1.0021646;2.7645185
-3.5162854;-.70141351;-.14733934;.35943866;.80674481;2.8341908
-2.2851422;-.63603365;-.40194857;.13148808;.81233692;1.2773969
-.1379168;.22368193;.69724631;.96069551;1.6099761;1.6099761
-1.0863926;-.71806765;-.16822469;.33175445;1.0357482;1.0357482
-.20791626;-.088135242;;2.2515235;;
