bpred1;bpred2;bpred3;bpred4;bpred5;bpred6
-7.8299122;-.56876588;-.14595166;.053193338;.44460836;6.1279073
-7.6932588;-.57322484;-.14754;.063846871;.45942846;6.0456257
-7.5566049;-.57768375;-.14912835;.074500404;.47424856;5.9633441
-7.419951;-.58214265;-.15071669;.085153937;.48906869;5.8810625
-7.2832975;-.58660161;-.15230504;.09580747;.50388879;5.7987814
-7.1466436;-.59106052;-.15389338;.106461;.51870888;5.7164998
-7.0099897;-.59551942;-.15548173;.11711454;.53352898;5.6342182
-6.8733363;-.59997839;-.15707007;.12776807;.54834908;5.5519366
-6.7366824;-.60443729;-.15865842;.1384216;.56316918;5.469655
-6.6000285;-.6088962;-.16024676;.14907514;.57798928;5.3873739
-6.4633751;-.61335516;-.1618351;.15972866;.59280944;5.3050923
-6.3267212;-.61781406;-.16342345;.1703822;.60762954;5.2228107
-6.1900673;-.62227297;-.16501179;.18103573;.62244964;5.1405292
-6.0534139;-.62673193;-.16660014;.19168925;.63726974;5.0582476
-5.91676;-.63119084;-.16818848;.20234279;.65208983;4.9759665
-5.7801061;-.63564974;-.16977683;.21299632;.66690993;4.8936849
-5.6434526;-.6401087;-.17136517;.22364986;.68173003;4.8114033
-5.5067987;-.64456761;-.17295352;.23430339;.69655013;4.7291217
-5.3701448;-.64902651;-.17454186;.24495693;.71137023;4.6468401
-5.2334914;-.65348548;-.17613021;.25561047;.72619039;4.5645585
-5.0968375;-.65794438;-.17771855;.26626399;.74101049;4.4822774
-4.9601836;-.66240329;-.17930689;.27691752;.75583059;4.3999958
-4.8235302;-.66686225;-.18089524;.28757104;.77065068;4.3177142
-4.6868763;-.67132115;-.18248358;.29822457;.78547078;4.2354326
-4.5502224;-.67578006;-.18407191;.30887812;.80029088;4.153151
-4.413569;-.68023902;-.18566026;.31953165;.81511098;4.0708699
-4.2769151;-.68469793;-.1872486;.33018517;.82993108;3.9885883
-4.1402612;-.68915683;-.18883695;.3408387;.84475118;3.9063067
-4.0036077;-.69361579;-.19042529;.35149226;.85957128;3.8240252
-3.8669538;-.6980747;-.19201364;.36214578;.87439144;3.7417438
-3.7303002;-.70253366;-.19360198;.37279931;.88921154;3.6594622
-3.5936463;-.70699257;-.19519033;.38345283;.90403163;3.5771806
-3.4569926;-.71145147;-.19677867;.39410639;.91885173;3.4948993
-3.320339;-.71591043;-.19836701;.40475991;.93367183;3.4126177
-3.1836851;-.72036934;-.19995536;.41541344;.94849193;3.3303361
-3.0470314;-.72482824;-.2015437;.42606696;.96331203;3.2480547
-2.9103777;-.72928721;-.20313205;.43672049;.97813213;3.1657732
-2.7737238;-.73374611;-.20472039;.44737405;.99295223;3.0834918
-2.6370702;-.73820502;-.20630874;.45802757;1.0077723;3.0012102
-2.5004165;-.74266398;-.20789708;.4686811;1.0225924;2.9189286
-2.3637626;-.74712288;-.20948543;.47933462;1.0374125;2.8366473
