bpred1;bpred2;bpred3;bpred4;bpred5;bpred6
-1.0860845;-.21417992;-.050519116;.08697629;.27295235;.94938189
-1.1007873;-.21731444;-.052997116;.085933059;.27691704;.96753931
-1.1154901;-.22044896;-.055475116;.084889822;.2808817;.98569679
-1.1301929;-.22358347;-.057953119;.083846584;.2848464;1.0038543
-1.1448957;-.22671799;-.060431119;.082803346;.28881109;1.0220118
-1.1595985;-.22985251;-.062909119;.081760108;.29277578;1.0401691
-1.1743011;-.23298705;-.065387122;.080716871;.29674044;1.0583266
-1.1890039;-.23612157;-.067865118;.079673633;.30070513;1.0764841
-1.2037067;-.23925608;-.070343122;.078630395;.30466983;1.0946416
-1.2184095;-.2423906;-.072821118;.077587157;.30863449;1.112799
-1.2331123;-.24552512;-.075299121;.07654392;.31259918;1.1309564
-1.2478151;-.24865964;-.077777117;.075500689;.31656387;1.1491139
-1.2625179;-.25179416;-.080255121;.074457452;.32052857;1.1672714
-1.2772207;-.25492868;-.082733124;.073414214;.32449323;1.1854289
-1.2919235;-.2580632;-.085211121;.072370976;.32845792;1.2035863
-1.3066263;-.26119772;-.087689124;.071327738;.33242261;1.2217437
-1.3213291;-.26433223;-.09016712;.070284501;.33638728;1.2399012
-1.3360319;-.26746675;-.092645124;.069241263;.34035197;1.2580587
-1.3507347;-.2706013;-.09512312;.068198025;.34431666;1.2762161
-1.3654374;-.27373582;-.097601123;.067154787;.34828135;1.2943736
-1.3801402;-.27687034;-.10007913;.06611155;.35224602;1.312531
-1.394843;-.28000486;-.10255712;.065068319;.35621071;1.3306885
-1.4095458;-.28313938;-.10503513;.064025082;.3601754;1.348846
-1.4242486;-.2862739;-.10751312;.062981844;.36414006;1.3670034
-1.4389514;-.28940842;-.10999113;.061938606;.36810476;1.3851609
-1.4536542;-.29254293;-.11246912;.060895368;.37206945;1.4033184
-1.468357;-.29567745;-.11494713;.059852131;.37603411;1.4214758
-1.4830598;-.29881197;-.11742513;.058808893;.3799988;1.4396333
-1.4977626;-.30194649;-.11990312;.057765655;.3839635;1.4577907
-1.5124654;-.30508101;-.12238113;.056722421;.38792819;1.4759482
-1.5271682;-.30821553;-.12485912;.055679183;.39189285;1.4941057
-1.541871;-.31135005;-.12733713;.054635946;.39585754;1.5122631
-1.5565737;-.31448457;-.12981513;.053592708;.39982224;1.5304205
-1.5712764;-.31761909;-.13229313;.05254947;.4037869;1.548578
-1.5859792;-.3207536;-.13477112;.051506236;.40775159;1.5667355
-1.600682;-.32388815;-.13724913;.050462998;.41171628;1.584893
-1.6153848;-.32702267;-.13972713;.049419761;.41568097;1.6030504
-1.6300876;-.33015719;-.14220513;.048376523;.41964564;1.6212078
-1.6447904;-.33329171;-.14468312;.047333285;.42361033;1.6393653
-1.6594932;-.33642623;-.14716113;.046290051;.42757502;1.6575228
-1.674196;-.33956075;-.14963913;.045246813;.43153968;1.6756803
